(?a qb:dataSet <jaurDistrictsTotal>) ^ (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 2928.0 ; 3509.0 )) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/okresy/3607>) -> (?a czso:pocetVolnychMist [ 37.0 ; 163.0 )) | support: 3, headCoverage: 0.003745318352059925, confidence: 1.0, headSize: 801, bodySize: 3
(?a qb:dataSet <jaurDistrictsTotal>) ^ (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 901.0 ; 2214.5 )) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/okresy/3201>) -> (?a czso:pocetVolnychMist [ 878.0 ; 1252.5 )) | support: 3, headCoverage: 0.003745318352059925, confidence: 0.75, headSize: 801, bodySize: 4
(?a qb:dataSet <jaurDistrictsTotal>) ^ (?a czso:podilNezamestnanych [ 5.3 ; 5.970000000000001 )) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/okresy/3405>) -> (?a czso:pocetVolnychMist [ 878.0 ; 1252.5 )) | support: 3, headCoverage: 0.003745318352059925, confidence: 1.0, headSize: 801, bodySize: 3
(?a qb:dataSet <jaurDistrictsTotal>) ^ (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 6731.5 ; 8081.5 )) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/okresy/3405>) -> (?a czso:pocetVolnychMist [ 878.0 ; 1252.5 )) | support: 3, headCoverage: 0.003745318352059925, confidence: 0.75, headSize: 801, bodySize: 4
(?a qb:dataSet <jaurDistrictsTotal>) ^ (?a czso:podilNezamestnanych [ 1.2 ; 3.6550000000000002 )) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/okresy/3201>) -> (?a czso:pocetVolnychMist [ 878.0 ; 1252.5 )) | support: 3, headCoverage: 0.003745318352059925, confidence: 0.75, headSize: 801, bodySize: 4
(?a qb:dataSet <jaurDistrictsTotal>) ^ (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 2214.5 ; 2928.0 )) ^ (?a czso:refPeriod <http://reference.data.gov.uk/id/gregorian-day/2010-12-31>) -> (?a czso:pocetVolnychMist [ 37.0 ; 163.0 )) | support: 3, headCoverage: 0.003745318352059925, confidence: 0.75, headSize: 801, bodySize: 4
(?a qb:dataSet <jaurDistrictsTotal>) ^ (?a czso:podilNezamestnanych [ 4.555 ; 5.3 )) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/okresy/3408>) -> (?a czso:pocetVolnychMist [ 37.0 ; 163.0 )) | support: 3, headCoverage: 0.003745318352059925, confidence: 1.0, headSize: 801, bodySize: 3
(?a qb:dataSet <jaurDistrictsTotal>) ^ (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 2214.5 ; 2928.0 )) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/okresy/3212>) -> (?a czso:pocetVolnychMist [ 37.0 ; 163.0 )) | support: 3, headCoverage: 0.003745318352059925, confidence: 0.75, headSize: 801, bodySize: 4
(?a qb:dataSet <jaurRegionsTotal>) ^ (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 48943.0 ; 61297.5 )) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/vusc/27>) -> (?a czso:pocetVolnychMist [ 3651.0 ; 4511.0 )) | support: 3, headCoverage: 0.003745318352059925, confidence: 0.75, headSize: 801, bodySize: 4
(?a qb:dataSet <jaurDistrictsTotal>) ^ (?a czso:podilNezamestnanych [ 5.970000000000001 ; 6.6899999999999995 )) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/okresy/3303>) -> (?a czso:pocetVolnychMist [ 37.0 ; 163.0 )) | support: 3, headCoverage: 0.003745318352059925, confidence: 1.0, headSize: 801, bodySize: 3
(?a qb:dataSet <jaurDistrictsBySex>) ^ (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 4019.0 ; 4855.0 )) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/okresy/3503>) -> (?a czso:podilNezamestnanych [ 8.76 ; 10.045 )) | support: 8, headCoverage: 0.0033291718684977114, confidence: 0.8888888888888888, headSize: 2403, bodySize: 9
(?a qb:dataSet <jaurDistrictsBySex>) ^ (?a czso:podilNezamestnanych [ 10.045 ; 16.49 ]) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/okresy/3502>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 4855.0 ; 13697.0 ]) | support: 8, headCoverage: 0.0033291718684977114, confidence: 0.7272727272727273, headSize: 2403, bodySize: 11
(?a qb:dataSet <jaurDistrictsTotal>) ^ (?a czso:podilNezamestnanych [ 1.2 ; 3.6550000000000002 )) ^ (?a czso:refPeriod <http://reference.data.gov.uk/id/gregorian-day/2006-12-31>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 901.0 ; 2214.5 )) | support: 8, headCoverage: 0.0033291718684977114, confidence: 0.8, headSize: 2403, bodySize: 10
(?a qb:dataSet <jaurDistrictsBySex>) ^ (?a czso:podilNezamestnanych [ 8.76 ; 10.045 )) ^ (?a czso:refArea <http://ruian.linked.opendata.cz/resource/okresy/3503>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 4019.0 ; 4855.0 )) | support: 8, headCoverage: 0.0033291718684977114, confidence: 1.0, headSize: 2403, bodySize: 8
(?a qb:dataSet <jaurDistrictsBySex>) ^ (?a czso:podilNezamestnanych [ 10.045 ; 16.49 ]) ^ (?a czso:refPeriod <http://reference.data.gov.uk/id/gregorian-day/2011-12-31>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani [ 4019.0 ; 4855.0 )) | support: 8, headCoverage: 0.0033291718684977114, confidence: 0.6666666666666666, headSize: 2403, bodySize: 12
